activity_id,branch_method,branch_time_in_child,branch_time_in_parent,experiment,experiment_id,frequency,grid,grid_label,institution_id,nominal_resolution,parent_activity_id,parent_experiment_id,parent_source_id,parent_time_units,parent_variant_label,product,realm,source_id,source_type,sub_experiment,sub_experiment_id,table_id,variable_id,variant_label,member_id,standard_name,long_name,units,vertical_levels,init_year,start_time,end_time,time_range,path,version
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,ta,r1i1p1f1,r1i1p1f1,air_temperature,Air Temperature,K,17,,1990-01-16 12:00:00,2009-12-16 12:00:00,1990-01-16 12:00:00-2009-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/ta/gn/v20250409/ta_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_199001-200912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,ta,r1i1p1f1,r1i1p1f1,air_temperature,Air Temperature,K,17,,2010-01-16 12:00:00,2014-12-16 12:00:00,2010-01-16 12:00:00-2014-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/ta/gn/v20250409/ta_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_201001-201412.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tas,r1i1p1f1,r1i1p1f1,air_temperature,Near-Surface Air Temperature,K,1,,1850-01-16 12:00:00,1869-12-16 12:00:00,1850-01-16 12:00:00-1869-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tas/gn/v20250409/tas_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_185001-186912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tas,r1i1p1f1,r1i1p1f1,air_temperature,Near-Surface Air Temperature,K,1,,1870-01-16 12:00:00,1889-12-16 12:00:00,1870-01-16 12:00:00-1889-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tas/gn/v20250409/tas_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_187001-188912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tas,r1i1p1f1,r1i1p1f1,air_temperature,Near-Surface Air Temperature,K,1,,1890-01-16 12:00:00,1899-12-16 12:00:00,1890-01-16 12:00:00-1899-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tas/gn/v20250409/tas_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_189001-189912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tas,r1i1p1f1,r1i1p1f1,air_temperature,Near-Surface Air Temperature,K,1,,1900-01-16 12:00:00,1909-12-16 12:00:00,1900-01-16 12:00:00-1909-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tas/gn/v20250409/tas_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_190001-190912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tas,r1i1p1f1,r1i1p1f1,air_temperature,Near-Surface Air Temperature,K,1,,1910-01-16 12:00:00,1929-12-16 12:00:00,1910-01-16 12:00:00-1929-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tas/gn/v20250409/tas_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_191001-192912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tas,r1i1p1f1,r1i1p1f1,air_temperature,Near-Surface Air Temperature,K,1,,1930-01-16 12:00:00,1949-12-16 12:00:00,1930-01-16 12:00:00-1949-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tas/gn/v20250409/tas_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_193001-194912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tas,r1i1p1f1,r1i1p1f1,air_temperature,Near-Surface Air Temperature,K,1,,1950-01-16 12:00:00,1969-12-16 12:00:00,1950-01-16 12:00:00-1969-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tas/gn/v20250409/tas_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_195001-196912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tas,r1i1p1f1,r1i1p1f1,air_temperature,Near-Surface Air Temperature,K,1,,1970-01-16 12:00:00,1979-12-16 12:00:00,1970-01-16 12:00:00-1979-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tas/gn/v20250409/tas_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_197001-197912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tas,r1i1p1f1,r1i1p1f1,air_temperature,Near-Surface Air Temperature,K,1,,1980-01-16 12:00:00,1989-12-16 12:00:00,1980-01-16 12:00:00-1989-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tas/gn/v20250409/tas_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_198001-198912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tas,r1i1p1f1,r1i1p1f1,air_temperature,Near-Surface Air Temperature,K,1,,1990-01-16 12:00:00,2009-12-16 12:00:00,1990-01-16 12:00:00-2009-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tas/gn/v20250409/tas_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_199001-200912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tas,r1i1p1f1,r1i1p1f1,air_temperature,Near-Surface Air Temperature,K,1,,2010-01-16 12:00:00,2014-12-16 12:00:00,2010-01-16 12:00:00-2014-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tas/gn/v20250409/tas_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_201001-201412.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid (U points); 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tauu,r1i1p1f1,r1i1p1f1,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,Pa,1,,1850-01-16 12:00:00,1869-12-16 12:00:00,1850-01-16 12:00:00-1869-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tauu/gn/v20250409/tauu_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_185001-186912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid (U points); 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tauu,r1i1p1f1,r1i1p1f1,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,Pa,1,,1870-01-16 12:00:00,1889-12-16 12:00:00,1870-01-16 12:00:00-1889-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tauu/gn/v20250409/tauu_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_187001-188912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid (U points); 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tauu,r1i1p1f1,r1i1p1f1,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,Pa,1,,1890-01-16 12:00:00,1899-12-16 12:00:00,1890-01-16 12:00:00-1899-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tauu/gn/v20250409/tauu_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_189001-189912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid (U points); 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tauu,r1i1p1f1,r1i1p1f1,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,Pa,1,,1900-01-16 12:00:00,1909-12-16 12:00:00,1900-01-16 12:00:00-1909-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tauu/gn/v20250409/tauu_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_190001-190912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid (U points); 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tauu,r1i1p1f1,r1i1p1f1,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,Pa,1,,1910-01-16 12:00:00,1929-12-16 12:00:00,1910-01-16 12:00:00-1929-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tauu/gn/v20250409/tauu_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_191001-192912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid (U points); 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tauu,r1i1p1f1,r1i1p1f1,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,Pa,1,,1930-01-16 12:00:00,1949-12-16 12:00:00,1930-01-16 12:00:00-1949-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tauu/gn/v20250409/tauu_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_193001-194912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid (U points); 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tauu,r1i1p1f1,r1i1p1f1,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,Pa,1,,1950-01-16 12:00:00,1969-12-16 12:00:00,1950-01-16 12:00:00-1969-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tauu/gn/v20250409/tauu_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_195001-196912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid (U points); 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tauu,r1i1p1f1,r1i1p1f1,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,Pa,1,,1970-01-16 12:00:00,1979-12-16 12:00:00,1970-01-16 12:00:00-1979-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tauu/gn/v20250409/tauu_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_197001-197912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid (U points); 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tauu,r1i1p1f1,r1i1p1f1,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,Pa,1,,1980-01-16 12:00:00,1989-12-16 12:00:00,1980-01-16 12:00:00-1989-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tauu/gn/v20250409/tauu_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_198001-198912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid (U points); 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tauu,r1i1p1f1,r1i1p1f1,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,Pa,1,,1990-01-16 12:00:00,2009-12-16 12:00:00,1990-01-16 12:00:00-2009-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tauu/gn/v20250409/tauu_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_199001-200912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid (U points); 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,tauu,r1i1p1f1,r1i1p1f1,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,Pa,1,,2010-01-16 12:00:00,2014-12-16 12:00:00,2010-01-16 12:00:00-2014-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/tauu/gn/v20250409/tauu_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_201001-201412.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,ts,r1i1p1f1,r1i1p1f1,surface_temperature,Surface Temperature,K,1,,1850-01-16 12:00:00,1869-12-16 12:00:00,1850-01-16 12:00:00-1869-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/ts/gn/v20250409/ts_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_185001-186912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,ts,r1i1p1f1,r1i1p1f1,surface_temperature,Surface Temperature,K,1,,1870-01-16 12:00:00,1889-12-16 12:00:00,1870-01-16 12:00:00-1889-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/ts/gn/v20250409/ts_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_187001-188912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,ts,r1i1p1f1,r1i1p1f1,surface_temperature,Surface Temperature,K,1,,1890-01-16 12:00:00,1899-12-16 12:00:00,1890-01-16 12:00:00-1899-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/ts/gn/v20250409/ts_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_189001-189912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,ts,r1i1p1f1,r1i1p1f1,surface_temperature,Surface Temperature,K,1,,1900-01-16 12:00:00,1909-12-16 12:00:00,1900-01-16 12:00:00-1909-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/ts/gn/v20250409/ts_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_190001-190912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,ts,r1i1p1f1,r1i1p1f1,surface_temperature,Surface Temperature,K,1,,1910-01-16 12:00:00,1929-12-16 12:00:00,1910-01-16 12:00:00-1929-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/ts/gn/v20250409/ts_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_191001-192912.nc,v20250409
EERIE,standard,0.0,0.0,all-forcing simulation of the recent past,historical,mon,Native N640 grid; 1280 x 960 longitude/latitude,gn,MOHC,10 km,DECK,piControl,HadGEM3-GC5E-HH,days since 1850-01-01,r1i1p1f1,model-output,atmos,HadGEM3-GC5E-HH,AOGCM,none,none,Amon,ts,r1i1p1f1,r1i1p1f1,surface_temperature,Surface Temperature,K,1,,1930-01-16 12:00:00,1949-12-16 12:00:00,1930-01-16 12:00:00-1949-12-16 12:00:00,/badc/cmip6/data/EERIE/EERIE/MOHC/HadGEM3-GC5E-HH/historical/r1i1p1f1/Amon/ts/gn/v20250409/ts_Amon_HadGEM3-GC5E-HH_historical_r1i1p1f1_gn_193001-194912.nc,v20250409
